,appid,Developer
0,578080,PUBG Corporation
1,570,Valve
2,730,Valve
4,359550,Ubisoft Montreal
5,271590,Rockstar North
6,238960,Grinding Gear Games
7,230410,Digital Extremes
8,440,Valve
9,252950,"Psyonix, Inc."
10,252490,Facepunch Studios
11,624090,Sports Interactive
12,346110,Studio Wildcard
13,4000,Facepunch Studios
14,8930,Firaxis Games
15,218620,OVERKILL - a Starbreeze Studio.
16,227300,SCS Software
17,107410,Bohemia Interactive
18,365590,Massive Entertainment
19,433850,NantG
20,377160,Bethesda Game Studios
21,289070,Firaxis Games
22,444090,Evil Mojo Games
23,105600,Re-Logic
25,72850,Bethesda Game Studios
26,304930,Smartly Dressed Games
27,476620,Sledgehammer Games
28,10,Valve
29,504370,Stunlock Studios
30,292030,CD PROJEKT RED
31,381210,Behaviour Digital Inc.
32,236850,Paradox Development Studio
33,489830,Bethesda Game Studios
34,306130,Zenimax Online Studios
35,236390,Gaijin Entertainment
36,435150,Larian Studios
37,394360,Paradox Development Studio
38,251570,The Fun Pimps
39,281990,Paradox Development Studio
40,550,Valve
41,594570,CREATIVE ASSEMBLY
42,221380,Skybox Labs
43,363970,Playsaurus
44,582660,Pearl Abyss
45,255710,Colossal Order Ltd.
46,214950,CREATIVE ASSEMBLY
47,601510,Konami Digital Entertainment
48,386360,Titan Forge Games
49,294100,Ludeon Studios
50,413150,ConcernedApe
51,582160,Ubisoft Montreal
52,322330,Klei Entertainment
53,577800,Visual Concepts
54,444200,Wargaming Group Limited
55,447020,Giants Software
57,550650,NS STUDIO
58,427520,Wube Software LTD.
59,49520,Gearbox Software
60,291550,Blue Mammoth Games
61,48700,TaleWorlds Entertainment
62,374320,"FromSoftware, Inc."
63,431960,Kristjan Skutta
64,268500,Firaxis Games
65,311290,Grimlore Games
66,240,Valve
67,39210,Square Enix
68,203770,Paradox Development Studio
69,356190,Monolith Productions
72,242760,Endnight Games Ltd
73,250900,"Nicalis, Inc."
74,227940,RETO MOTO
75,485510,"KOEI TECMO GAMES CO., LTD."
76,219990,Crate Entertainment
77,698780,Team Salvato
79,259340,ToonTRAXX Studios
80,231430,Relic Entertainment
81,291480,My.com
82,359320,Frontier Developments
83,386180,Targem Games
84,364360,CREATIVE ASSEMBLY
85,22380,Obsidian Entertainment
86,244850,Keen Software House
87,325610,CREATIVE ASSEMBLY
88,304050,Trion Worlds
89,298610,Bohemia Interactive
90,264710,Unknown Worlds Entertainment
91,322170,RobTop Games
92,211820,Chucklefish
93,242920,Shining Rock Software LLC
94,627690,Codename Entertainment Inc.
95,453480,"Cygames, Inc."
96,460930,Ubisoft Paris
97,373420,Larian Studios
98,8500,CCP
99,220200,Squad
100,10500,CREATIVE ASSEMBLY
101,4700,CREATIVE ASSEMBLY
102,221100,Bohemia Interactive
103,301520,Freejam
104,239140,Techland
105,232090,Tripwire Interactive
106,457140,Klei Entertainment
107,55100,Kaos Studios
108,391220,Crystal Dynamics
109,552990,Wargaming Group Limited
110,466240,Automaton
111,47890,The Sims Studio
112,314160,Microsoft Game Studios
113,305620,Hinterland Studio Inc.
115,268910,Studio MDHR Entertainment Inc.
116,628890,"KOEI TECMO GAMES CO., LTD."
117,109600,Cryptic Studios
118,612880,Machine Games
119,738060,Scott Cawthon
120,270880,SCS Software
121,592580,"Konami Digital Entertainment Co., Ltd."
122,475150,Iron Lore Entertainment
123,620,Valve
124,555570,Fredaikis AB
125,440900,Funcom
126,268850,EVGA
127,34330,CREATIVE ASSEMBLY
128,610080,Divine Games
129,225540,Avalanche Studios
130,619890,Agar3s
131,240720,Bennett Foddy
132,105450,Ensemble Studios
133,219740,Klei Entertainment
134,311210,Treyarch
135,493340,Frontier Developments
136,346010,Spiderling Studios
137,333930,Splash Damage
138,438040,Playa Games GmbH
139,595460,Jason Lovett
140,383120,Eleon Game Studios
141,262060,Red Hook Studios
142,284160,BeamNG
143,244210,Kunos Simulazioni
144,389730,BANDAI NAMCO Studios Inc.
145,518790,Expansive Worlds
146,446800,Urban Games
147,222880,New World Interactive
148,588430,Bethesda Game Studios
149,346900,Hyper Hippo Games
150,379720,id Software
151,323370,"Bluehole, Inc."
152,218230,Daybreak Game Company
154,674940,Landfall West
155,335300,"FromSoftware, Inc"
156,287700,Konami Digital Entertainment
157,392110,AMPLITUDE Studios
158,286160,Berserk Games
159,411300,Piranha Bytes
160,385760,Visual Concepts
161,241930,Monolith Productions
162,393380,Offworld Industries
163,477160,No Brakes Games
164,33930,Bohemia Interactive
165,202990,Treyarch
166,211420,FromSoftware
167,515220,Codemasters
168,228200,Relic Entertainment
169,200210,Wild Shadow Studios
171,454650,QLOC
172,304390,Ubisoft Montreal
173,273110,"Valve Corporation, Nexon Korea Corporation"
176,295110,Daybreak Game Company
177,24010,Dovetail Games
178,10190,Infinity Ward
179,645630,Red Dot Games
180,476600,Sledgehammer Games
181,663390,LAN - GAMES EOOD
182,34030,CREATIVE ASSEMBLY
183,378860,Slightly Mad Studios
184,384300,"StartupTim, LLC"
185,418460,Antimatter Games
186,367520,Team Cherry
187,231670,Sports Interactive
188,244450,Digitalmindsoft
189,312660,Rebellion
190,363150,"KOEI TECMO GAMES CO., LTD."
191,282070,11 bit studios
192,380600,Fishing Planet LLC
193,200510,Firaxis Games
194,536930,Square Enix
195,233450,Introversion Software
196,280790,Playful Corp.
197,242050,Ubisoft Montreal
198,9900,Cryptic Studios
199,316010,Stainless Games Ltd.
200,389430,Noah System
201,403640,Arkane Studios
202,524220,Square Enix
203,469600,AutoAttack Games
204,506540,Free Reign Entertainment
205,4760,CREATIVE ASSEMBLY
206,216150,Nexon
207,387990,Axolot Games
208,480490,Arkane Studios
209,447040,Ubisoft
210,688470,"Chongqing Shangshixuan Technology Co., Ltd.,"
211,506140,"Cloudcade, Inc."
212,402840,Codename Entertainment Inc.
213,261640,2K Australia
214,364470,"Sparkypants Studios, LLC"
215,663090,"IMCGAMES Co.,Ltd."
216,266840,SkyBox Labs
217,203160,Crystal Dynamics
218,291650,Obsidian Entertainment
219,372000,"IMCGAMES Co.,Ltd."
221,212680,Subset Games
222,337000,Eidos Montreal
223,415200,Playsport Games
224,32470,Petroglyph
225,397900,Creobit
226,569480,"Lion Shield, LLC"
227,444640,Ninja Kiwi
228,473690,Sloclap
229,433340,Monomi Park
230,234140,Avalanche Studios
231,298110,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev"
232,201810,Machine Games
233,290080,Bitbox Ltd.
234,445220,Boxelware
