,appid,Publisher
0,578080,PUBG Corporation
1,570,Valve
2,730,Valve
4,359550,Ubisoft
5,271590,Rockstar Games
6,238960,Grinding Gear Games
7,230410,Digital Extremes
8,440,Valve
9,252950,"Psyonix, Inc."
10,252490,Facepunch Studios
11,624090,SEGA
12,346110,Studio Wildcard
13,4000,Valve
14,8930,2K
15,218620,Starbreeze Publishing AB
16,227300,SCS Software
17,107410,Bohemia Interactive
18,365590,Ubisoft
19,433850,Daybreak Game Company
20,377160,Bethesda Softworks
21,289070,2K
22,444090,Hi-Rez Studios
23,105600,Re-Logic
25,72850,Bethesda Softworks
26,304930,Smartly Dressed Games
27,476620,Activision
28,10,Valve
29,504370,Stunlock Studios
30,292030,CD PROJEKT RED
31,381210,Behaviour Digital Inc.
32,236850,Paradox Interactive
33,489830,Bethesda Softworks
34,306130,Bethesda Softworks
35,236390,Gaijin Entertainment
36,435150,Larian Studios
37,394360,Paradox Interactive
38,251570,The Fun Pimps Entertainment LLC
39,281990,Paradox Interactive
40,550,Valve
41,594570,SEGA
42,221380,Xbox Game Studios
43,363970,Playsaurus
44,582660,Kakao Games Europe B.V.
45,255710,Paradox Interactive
46,214950,SEGA
47,601510,Konami Digital Entertainment
48,386360,Hi-Rez Studios
49,294100,Ludeon Studios
50,413150,ConcernedApe
51,582160,Ubisoft
52,322330,Klei Entertainment
53,577800,2K
54,444200,Wargaming Group Limited
55,447020,Focus Home Interactive
57,550650,NS STUDIO
58,427520,Wube Software LTD.
59,49520,2K
60,291550,Ubisoft
61,48700,TaleWorlds Entertainment
62,374320,"FromSoftware, Inc."
63,431960,Kristjan Skutta
64,268500,2K
65,311290,THQ Nordic
66,240,Valve
67,39210,Square Enix
68,203770,Paradox Interactive
69,356190,WB Games
70,253920,Topware Interactive ACE
72,242760,Endnight Games Ltd
73,250900,"Nicalis, Inc."
74,227940,RETO MOTO
75,485510,"KOEI TECMO GAMES CO., LTD."
76,219990,Crate Entertainment
77,698780,Team Salvato
79,259340,Topware Interactive
80,231430,SEGA
81,291480,My.com
82,359320,Frontier Developments
83,386180,Gaijin Entertainment
84,364360,SEGA
85,22380,Bethesda Softworks
86,244850,Keen Software House
87,325610,SEGA
88,304050,Trion Worlds
89,298610,Bohemia Interactive
90,264710,Unknown Worlds Entertainment
91,322170,RobTop Games
92,211820,Chucklefish
93,242920,Shining Rock Software LLC
94,627690,Codename Entertainment Inc.
95,453480,"Cygames, Inc."
96,460930,Ubisoft
97,373420,Larian Studios
98,8500,CCP
99,220200,Private Division 
100,10500,SEGA
101,4700,SEGA
102,221100,Bohemia Interactive
103,301520,Freejam
104,239140,Techland Publishing
105,232090,Tripwire Interactive
106,457140,Klei Entertainment
107,55100,Deep Silver
108,391220,Square Enix
109,552990,Wargaming Group Limited
110,466240,Automaton
111,47890,Electronic Arts
112,314160,Dovetail Games - Flight
113,305620,Hinterland Studio Inc.
115,268910,Studio MDHR Entertainment Inc.
116,628890,"KOEI TECMO GAMES CO., LTD."
117,109600,Perfect World Entertainment
118,612880,Bethesda Softworks
119,738060,Scott Cawthon
120,270880,SCS Software
121,592580,Konami Digital Entertainment
122,475150,THQ Nordic
123,620,Valve
124,555570,Fredaikis AB
125,440900,Funcom
126,268850,EVGA
127,34330,SEGA
128,610080,Kongregate
129,225540,Square Enix
130,619890,Giant Fox Studios
131,240720,Bennett Foddy
132,105450,Xbox Game Studios
133,219740,Klei Entertainment
134,311210,Activision
135,493340,Frontier Developments
136,346010,Spiderling Studios
137,333930,Warchest Ltd.
138,438040,Playa Games GmbH
139,595460,K Bros Games
140,383120,Eleon Game Studios
141,262060,Red Hook Studios
142,284160,BeamNG
143,244210,Kunos Simulazioni
144,389730,BANDAI NAMCO Entertainment
145,518790,Avalanche Studios
146,446800,Good Shepherd Entertainment
147,222880,New World Interactive
148,588430,Bethesda Softworks
149,346900,Hyper Hippo Games
150,379720,Bethesda Softworks
151,323370,En Masse Entertainment
152,218230,Daybreak Game Company
154,674940,Landfall
155,335300,BANDAI NAMCO Entertainment
156,287700,Konami Digital Entertainment
157,392110,SEGA
158,286160,Berserk Games
159,411300,THQ Nordic
160,385760,2K
161,241930,WB Games
162,393380,Offworld Industries
163,477160,Curve Digital
164,33930,Bohemia Interactive
165,202990,Activision
166,211420,BANDAI NAMCO Entertainment
167,515220,Codemasters
168,228200,SEGA
169,200210,Deca Games
171,454650,BANDAI NAMCO Entertainment
172,304390,Ubisoft
173,273110,Nexon Korea Corporation
176,295110,Daybreak Game Company
177,24010,Dovetail Games - Trains
178,10190,Activision
179,645630,PlayWay S.A.
180,476600,Activision
181,663390,LAN - GAMES EOOD
182,34030,SEGA
183,378860,BANDAI NAMCO Entertainment
184,384300,"StartupTim, LLC"
185,418460,Tripwire Interactive
186,367520,Team Cherry
187,231670,SEGA
188,244450,1C Entertainment
189,312660,Rebellion
190,363150,"KOEI TECMO GAMES CO., LTD."
191,282070,11 bit studios
192,380600,Fishing Planet LLC
193,200510,2K
194,536930,Square Enix
195,233450,Paradox Interactive
196,280790,Playful Corp.
197,242050,Ubisoft
198,9900,Perfect World Entertainment
199,316010,Wizards of the Coast LLC
200,389430,NTTGame
201,403640,Bethesda Softworks
202,524220,Square Enix
203,469600,AutoAttack Games
204,506540,Free Reign Entertainment
205,4760,SEGA
206,216150,Nexon America Inc.
207,387990,Axolot Games
208,480490,Bethesda Softworks
209,447040,Ubisoft
210,688470,"Chongqing Shangshixuan Technology Co., Ltd.,"
211,506140,"Cloudcade, Inc."
212,402840,Codename Entertainment Inc.
213,261640,2K
214,364470,Bethesda Softworks
215,663090,"IMCGAMES Co.,Ltd."
216,266840,Xbox Game Studios
217,203160,Square Enix
218,291650,Paradox Interactive
219,372000,"IMCGAMES Co.,Ltd."
221,212680,Subset Games
222,337000,Square Enix
223,415200,SEGA
224,32470,LucasArts
225,397900,8Floor
226,569480,"Lion Shield, LLC"
227,444640,Ninja Kiwi
228,473690,Devolver Digital
229,433340,Monomi Park
230,234140,Warner Bros. Interactive Entertainment
231,298110,Ubisoft
232,201810,Bethesda-Soft
233,290080,Bitbox Ltd.
234,445220,Boxelware
235,335240,Atelier 801
236,8800,2K
237,208650,Warner Bros. Interactive Entertainment
238,329110,505 Games
239,326460,kChamp Games
240,529180,Snail Games USA
241,438740,Gun Media
242,8980,2K
243,521630,Giant Fox Studios
244,220,Valve
245,393420,Bankroll Studios
246,22330,Bethesda Softworks
247,20920,CD PROJEKT RED
